C	N	P	S	V	Ni	Nb	Al	Ti	Fe	Hf	Mo	Mn	Co	Si	Cr	Cu	SFE
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	17.21
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	34.61
0.047	0.205	0	0	0	3.71	0	0	0	71.218	0	0.05	6.74	0	0.32	17.48	0.23	40.04
0.27	0.0043	0.005	0.005	0	10.93	0	0.006	0	79.7757	0	0	0.004	0	0.1	8.9	0	42
0.29	0.0027	0.008	0.006	0	4.84	0	0.005	0	78.4773	0	0	0.003	0	0.028	16.34	0	17
0.009	0.0032	0.004	0.005	0	11.87	0	0.028	0	71.5338	0	0	0.003	0	0.014	16.53	0	22
0.028	0	0	0	0	9.5	0	0	0	73.872	0	0	0	0	0	16.6	0	19
0.006	0	0	0	0	10	0	0	0	69.994	0	0	0	0	0	20	0	23
0.018	0	0	0	0	15	0	0	0	64.982	0	0	0	0	0	20	0	32
0.015	0	0	0	0	20	0	0	0	59.985	0	0	0	0	0	20	0	40
0.012	0	0	0	0	20	0	0	0	69.988	0	0	0	0	0	10	0	53
0.019	0	0	0	0	20	0	0	0	64.981	0	0	0	0	0	15	0	40
0.012	0	0	0	0	10	0	0	0	69.988	0	0	0	0	0	20	0	23
0.01	0	0	0	0	15	0	0	0	64.99	0	0	0	0	0	20	0	34
0.018	0	0	0	0	20	0	0	0	59.982	0	0	0	0	0	20	0	38
0.012	0	0	0	0	20	0	0	0	69.988	0	0	0	0	0	10	0	48
0.012	0	0	0	0	20	0	0	0	64.988	0	0	0	0	0	15	0	44
0.027	0	0	0	0	20	0	0	0	59.973	0	0	0	0	0	20	0	43
0.604	0.016	0	0	0	0	0	0	0	82.56	0	0	14.82	0	0	2	0	14.6
0.593	0.031	0	0	0	0	0	0	0	82.896	0	0	14.5	0	0	1.98	0	15.4
0.594	0.068	0	0	0	0	0	0	0	82.548	0	0	14.96	0	0	1.83	0	16.8
0.618	0.086	0	0	0	0	0	0	0	82.446	0	0	15.03	0	0	1.82	0	19.2
0.56	0.21	0	0	0	0	0	0	0	81.82	0	0	14.9	0	0	2.51	0	33.1
0.62	0.012	0.012	0.06	0	0	0	0.02	0	81.626	0	0	17.65	0	0	0	0	17
0.61	0.011	0.011	0.036	0	0	0	0.96	0	79.362	0	0	19.01	0	0	0	0	29
0.58	0.01	0.01	0.008	0	0	0	2.02	0	78.302	0	0	19.07	0	0	0	0	36
0.604	0.016	0	0	0	0	0	0	0	82.56	0	0	14.82	0	0	2	0	15.2
0.56	0.21	0	0	0	0	0	0	0	81.82	0	0	14.9	0	0	2.51	0	35.2
0.6	0	0	0	0	0	0	0	0	81.4	0	0	18	0	0	0	0	21
0.6	0	0	0	0	0	0	1.5	0	79.9	0	0	18	0	0	0	0	28
0.6	0	0	0	0	0	0	2	0	79.4	0	0	18	0	0	0	0	42.5
0.6	0	0	0	0	0	0	3	0	78.4	0	0	18	0	0	0	0	44
0.604	0.016	0	0	0	0	0	0	0	82.56	0	0	14.82	0	0	2	0	13.9
0.593	0.031	0	0	0	0	0	0	0	82.896	0	0	14.5	0	0	1.98	0	15.3
0.594	0.068	0	0	0	0	0	0	0	82.548	0	0	14.96	0	0	1.83	0	17.5
0.618	0.086	0	0	0	0	0	0	0	82.446	0	0	15.03	0	0	1.82	0	20.3
0.56	0.21	0	0	0	0	0	0	0	81.82	0	0	14.9	0	0	2.51	0	24.3
0.15	0	0	0	0	0	0	0	0	84.85	0	0	15	0	0	0	0	3.62
0.5	0	0	0	0	0	0	0	0	81.5	0	0	18	0	0	0	0	8.49
0.37	0	0	0	0	0	0	4	0	75.4	0	0	20	0	0.23	0	0	27.14
0.5	0	0	0	0	0	0	2	0	75.5	0	0	22	0	0	0	0	24.84
0.35	0	0	0	0	0	0	0	0	74.65	0	0	25	0	0	0	0	4.198
0.35	0	0	0	0	0	0	1.5	0	73.15	0	0	25	0	0	0	0	8.1
0.5	0	0	0	0	0	0	1.5	0	73	0	0	25	0	0	0	0	14.85
0.5	0	0	0	0	0	0	3	0	68.5	0	0	26	0	2	0	0	32.22
0.2	0	0	0	0	0	0	0	0	71.8	0	0	28	0	0	0	0	12.32
0.03	0.1	0.045	0	0	10	0	0	0	69.105	0	0	2	0	0.72	18	0	21.48
0.1	0	0	0	0	1.01	0	0	0	70.29	0	0	9.25	0	4.2	15.15	0	15.83
0.04	0.0049	0.013	0	0	8.75	0	0	0	71.3121	0	0	1.36	0	0.32	18.2	0	8
0.06	0	0	0	0	13.3	0	0	0	67.24	0	1.7	0.4	0	0	17.3	0	68
0.016	0	0	0	0	14.1	0	0	0	67.884	0	0	0	0	0	18	0	25
0.019	0	0	0	0	14.1	0	0	0	66.881	0	0	0	0	0	19	0	43
0.006	0	0	0	0	14	0	0	0	66.994	0	0	0	0	0	19	0	35
0.005	0	0	0	0	11.4	0	0	0	73.695	0	0	0	0	0	14.9	0	13
0.005	0	0	0	0	20.6	0	0	0	61.295	0	0	0	0	0	18.1	0	43
0.01	0	0	0	0	14.1	0	0	0	68.09	0	0	0	0	0	17.8	0	45
0.01	0	0	0	0	12.5	0	0	0	71.59	0	0	0	0	0	15.9	0	24
0.005	0	0	0	0	10.7	0	0	0	70.995	0	0	0	0	0	18.3	0	16.4
0.005	0	0	0	0	10.7	0	0	0	70.995	0	0	0	0	0	18.3	0	27.6
0.005	0	0	0	0	10.7	0	0	0	70.995	0	0	0	0	0	18.3	0	30.4
0.005	0	0	0	0	12.5	0	0	0	71.595	0	0	0	0	0	15.9	0	23.6
0.005	0	0	0	0	12.5	0	0	0	71.595	0	0	0	0	0	15.9	0	28.8
0.005	0	0	0	0	12.5	0	0	0	71.595	0	0	0	0	0	15.9	0	31.8
0.01	0	0	0	0	21.07	0	0	0	52.96	0	0.02	0.08	0	0.01	25.85	0	35
0.01	0	0	0	0	22	0	0	0	56.89	0	0.02	0.07	0	0.01	21	0	33
0.02	0	0	0	0	13.8	0	0	0	64.97	0	0.02	0.08	0	0.01	21.1	0	18
0.01	0	0	0	0	20.77	0	0	0	62.9	0	0.02	0.08	0	0.01	16.21	0	31
0.02	0	0	0	0	14	0	0	0	69.67	0	0.02	0.08	0	0.01	16.2	0	23
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	73
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	73
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	72
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	68
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	58
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	41
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	37
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	35
0.03	0.398	0	0.004	0	16.3	0	0	0	54.698	0	0	9.64	0	0.45	18.48	0	33
0.96	0	0	0	0	0	0	0	0	67.16	0	0	31.63	0	0.25	0	0	17.39
0.64	0	0	0	0	0	0	0	0	64.78	0	0	32.55	0	2.03	0	0	14.69
0.67	0	0	0	0	0	0	0	0	63.5	0	0	30.62	0	5.21	0	0	10.51
0.79	0	0	0	0	0	0	0	0	60.16	0	0	30.38	0	8.67	0	0	6.33
0.07	0.06	0.08	0.04	0	16.13	0	0	0	55.05	0	0	9.64	0	0.45	18.48	0	43
0.07	0.21	0.08	0.04	0	16.13	0	0	0	54.9	0	0	9.64	0	0.45	18.48	0	54
0.07	0.31	0.08	0.04	0	16.13	0	0	0	54.8	0	0	9.64	0	0.45	18.48	0	62
0.07	0.4	0.08	0.04	0	16.13	0	0	0	54.71	0	0	9.64	0	0.45	18.48	0	65
0.07	0.54	0.08	0.04	0	16.13	0	0	0	54.57	0	0	9.64	0	0.45	18.48	0	52
0	0.23	0	0	0	0	0	0	0	67.47	0	0	17.2	0	0	15.1	0	25
0	0.48	0	0	0	0	0	0	0	67.22	0	0	17.2	0	0	15.1	0	21
0	0.8	0	0	0	0	0	0	0	66.9	0	0	17.2	0	0	15.1	0	40
0.049	0.047	0	0	0	8.2	0	0.003	0	71.151	0	0	1.49	0	0.43	18.2	0.43	30
0.041	0.054	0	0	0	8.1	0	0	0	71.195	0	0	1.71	0	0.33	18.2	0.37	29.2
0.093	0.074	0	0	0	6.4	0	0.002	0	74.141	0	0	1.22	0	1.12	16.7	0.25	26.6
0.045	0.198	0	0	0	4.5	0	0.005	0	70.082	0	0	6.97	0	0.35	17.6	0.25	24.6
